Episode: 138 | Reward: 64.0 | Q Loss: 0.7039730548858643 | Steps: 2462
Episode: 139 | Reward: 29.0 | Q Loss: 0.7222476601600647 | Steps: 2491
Episode: 140 | Reward: 9.0 | Q Loss: 0.695644199848175 | Steps: 2500
Episode: 141 | Reward: 9.0 | Q Loss: 0.6987239122390747 | Steps: 2509
Episode: 142 | Reward: 59.0 | Q Loss: 0.705919623374939 | Steps: 2568
Episode: 143 | Reward: 20.0 | Q Loss: 0.7001903653144836 | Steps: 2588
Episode: 144 | Reward: 56.0 | Q Loss: 0.7069337368011475 | Steps: 2644
Episode: 145 | Reward: 85.0 | Q Loss: 0.7003797292709351 | Steps: 2729
Episode: 146 | Reward: 50.0 | Q Loss: 0.7109242081642151 | Steps: 2779
Episode: 147 | Reward: 12.0 | Q Loss: 0.7055941820144653 | Steps: 2791
Episode: 148 | Reward: 55.0 | Q Loss: 0.6970722079277039 | Steps: 2846
Episode: 149 | Reward: 21.0 | Q Loss: 0.700772762298584 | Steps: 2867
Episode: 150 | Reward: 81.0 | Q Loss: 0.7179171442985535 | Steps: 2948
Episode: 151 | Reward: 118.0 | Q Loss: 0.6965406537055969 | Steps: 3066
Episode: 152 | Reward: 59.0 | Q Loss: 0.7087660431861877 | Steps: 3125
Episode: 153 | Reward: 77.0 | Q Loss: 0.7205020189285278 | Steps: 3202
Episode: 154 | Reward: 24.0 | Q Loss: 0.7091311812400818 | Steps: 3226
Episode: 155 | Reward: 55.0 | Q Loss: 0.7085344195365906 | Steps: 3281
Episode: 156 | Reward: 200.0 | Q Loss: 0.7102197408676147 | Steps: 3481
Episode: 157 | Reward: 97.0 | Q Loss: 0.7045485377311707 | Steps: 3578
Episode: 158 | Reward: 96.0 | Q Loss: 0.760118842124939 | Steps: 3674
Episode: 159 | Reward: 200.0 | Q Loss: 0.7062817215919495 | Steps: 3874
Episode: 160 | Reward: 158.0 | Q Loss: 0.7147840261459351 | Steps: 4032
Episode: 161 | Reward: 200.0 | Q Loss: 0.700765073299408 | Steps: 4232
Episode: 162 | Reward: 182.0 | Q Loss: 0.7103004455566406 | Steps: 4414
Episode: 163 | Reward: 172.0 | Q Loss: 0.7033317685127258 | Steps: 4586
Episode: 164 | Reward: 200.0 | Q Loss: 0.7608665227890015 | Steps: 4786
Episode: 165 | Reward: 151.0 | Q Loss: 0.7037934064865112 | Steps: 4937
Episode: 166 | Reward: 161.0 | Q Loss: 0.6994248628616333 | Steps: 5098
Episode: 167 | Reward: 200.0 | Q Loss: 0.6985577940940857 | Steps: 5298
Episode: 168 | Reward: 187.0 | Q Loss: 0.7191894054412842 | Steps: 5485
Episode: 169 | Reward: 191.0 | Q Loss: 0.7102833986282349 | Steps: 5676
Episode: 170 | Reward: 200.0 | Q Loss: 0.7172116637229919 | Steps: 5876
Episode: 171 | Reward: 200.0 | Q Loss: 0.7021949887275696 | Steps: 6076
Episode: 172 | Reward: 181.0 | Q Loss: 0.7062561511993408 | Steps: 6257
Episode: 173 | Reward: 167.0 | Q Loss: 0.7208144664764404 | Steps: 6424
Episode: 174 | Reward: 200.0 | Q Loss: 0.7140035033226013 | Steps: 6624
Episode: 175 | Reward: 200.0 | Q Loss: 0.7381564974784851 | Steps: 6824
Episode: 176 | Reward: 200.0 | Q Loss: 0.700552761554718 | Steps: 7024
Episode: 177 | Reward: 174.0 | Q Loss: 0.7137361168861389 | Steps: 7198
Episode: 178 | Reward: 200.0 | Q Loss: 0.743354082107544 | Steps: 7398
Episode: 179 | Reward: 200.0 | Q Loss: 0.7463182210922241 | Steps: 7598
Episode: 180 | Reward: 183.0 | Q Loss: 0.7320231795310974 | Steps: 7781
Episode: 181 | Reward: 200.0 | Q Loss: 0.8192968368530273 | Steps: 7981
Episode: 182 | Reward: 200.0 | Q Loss: 0.7244383096694946 | Steps: 8181
Episode: 183 | Reward: 200.0 | Q Loss: 0.7524695992469788 | Steps: 8381
Episode: 184 | Reward: 176.0 | Q Loss: 0.7122345566749573 | Steps: 8557
Episode: 185 | Reward: 178.0 | Q Loss: 0.9563031196594238 | Steps: 8735
Episode: 186 | Reward: 200.0 | Q Loss: 0.7813134789466858 | Steps: 8935
Episode: 187 | Reward: 200.0 | Q Loss: 0.8211880326271057 | Steps: 9135
Episode: 188 | Reward: 153.0 | Q Loss: 1.538191795349121 | Steps: 9288
Episode: 189 | Reward: 180.0 | Q Loss: 0.8013734221458435 | Steps: 9468
Episode: 190 | Reward: 200.0 | Q Loss: 0.718546986579895 | Steps: 9668
Episode: 191 | Reward: 200.0 | Q Loss: 0.7776693105697632 | Steps: 9868
Episode: 192 | Reward: 146.0 | Q Loss: 0.7348194122314453 | Steps: 10014
Episode: 193 | Reward: 200.0 | Q Loss: 0.7784541845321655 | Steps: 10214
Episode: 194 | Reward: 200.0 | Q Loss: 0.7299540638923645 | Steps: 10414
Episode: 195 | Reward: 167.0 | Q Loss: 0.7524823546409607 | Steps: 10581
Episode: 196 | Reward: 200.0 | Q Loss: 0.8081244230270386 | Steps: 10781
Episode: 197 | Reward: 156.0 | Q Loss: 0.7768649458885193 | Steps: 10937
Episode: 198 | Reward: 200.0 | Q Loss: 0.8290932178497314 | Steps: 11137
Episode: 199 | Reward: 200.0 | Q Loss: 1.862790584564209 | Steps: 11337
Episode: 200 | Reward: 200.0 | Q Loss: 0.7880827784538269 | Steps: 11537
Episode: 201 | Reward: 195.0 | Q Loss: 0.731390118598938 | Steps: 11732
Episode: 202 | Reward: 186.0 | Q Loss: 0.7582738399505615 | Steps: 11918
Episode: 203 | Reward: 164.0 | Q Loss: 0.8672029972076416 | Steps: 12082
Episode: 204 | Reward: 165.0 | Q Loss: 1.2289113998413086 | Steps: 12247
Episode: 205 | Reward: 158.0 | Q Loss: 0.8420649766921997 | Steps: 12405
Episode: 206 | Reward: 200.0 | Q Loss: 0.799402117729187 | Steps: 12605
Episode: 207 | Reward: 196.0 | Q Loss: 0.8562862277030945 | Steps: 12801
Episode: 208 | Reward: 173.0 | Q Loss: 1.5344696044921875 | Steps: 12974
Episode: 209 | Reward: 200.0 | Q Loss: 0.8408393263816833 | Steps: 13174
Episode: 210 | Reward: 200.0 | Q Loss: 0.7905447483062744 | Steps: 13374
Episode: 211 | Reward: 188.0 | Q Loss: 0.8527830839157104 | Steps: 13562
Episode: 212 | Reward: 200.0 | Q Loss: 1.986197590827942 | Steps: 13762
Episode: 213 | Reward: 200.0 | Q Loss: 0.9333266019821167 | Steps: 13962
Episode: 214 | Reward: 200.0 | Q Loss: 0.7673506140708923 | Steps: 14162
Episode: 215 | Reward: 189.0 | Q Loss: 0.7905881404876709 | Steps: 14351
Episode: 216 | Reward: 199.0 | Q Loss: 0.8209484219551086 | Steps: 14550
Episode: 217 | Reward: 164.0 | Q Loss: 0.8520603179931641 | Steps: 14714
Episode: 218 | Reward: 200.0 | Q Loss: 0.8173249959945679 | Steps: 14914
Episode: 219 | Reward: 200.0 | Q Loss: 0.803366482257843 | Steps: 15114
Episode: 220 | Reward: 200.0 | Q Loss: 0.9105019569396973 | Steps: 15314
